"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ATEC","Alphatec Holdings, Inc.","9.4","6690628.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atec",
"ASPS","Altisource Portfolio Solutions S.A.","32.4","594522212.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","28.94","749673683.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","24.51","837115618.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation plc","3.18","565519150.98","177836211","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","15.97","112132556.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amrk",
"AYA","Amaya Inc.","16.23","2352561660.21","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aya",
"AMZN","Amazon.com, Inc.","837.31","396946517452.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","18.39","829789681.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","8.8","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","73.61","2407031100.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","51.86","3702790516.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","57.85","8553238200","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.9211","21721381.1211","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","47.4","1590149604","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","324.28","6358413492.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uhal",
"ATAX","America First Multifamily Investors, L.P.","5.905","355793539.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","11.42","99283412.98","8693819","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","36.61","19400128292.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aal",
"AGNC","American Capital Agency Corp.","19.54","6468640344.58","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agnc",
